story_qn,answer_text
i want to modify project key,
How to change project key,
how to modify project key,
How does the GitHub integration with SAP Jira work?,"Here is a short [**glimpse**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/GitHub+Integration+How+Does+it+look+like) into SAP Jira’s integration with GitHub.
⠀ 
More details are available [**here**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/GitHub+-+SAP+Jira+Integration).
⠀ 
Happy exploring! 😊"
how does github integration sap jira work,
how does github integration works,
How does the BCP integration work?,"The details of SAP Jira’s integration with BCP are available [**here**](https://wiki.wdf.sap.corp/wiki/display/QETools/BCP+Incidents+-+SAP+Jira+integration).
⠀ 
Happy learning! 😊"
i want to know bcp integration,
How can I automate traceability for Sirius Deliveries?,You can automate traceability for Sirius Deliveries using our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/QETools/Automate+Traceability+for+Sirius+Deliveries+based+on+SAP+Jira).
automate sirius delivery,
how to automate tracing of sirius delivery,
How can I archive a project?,"Archiving a project is simple!
⠀ 
Ask your project administrator to:
⠀ 
- Go to **Project settings**.
- Click on **Actions > Project - Archiving configuration**.
- Click **Flag for Archiving**.
⠀ 

Projects flagged for archiving will be archived in the subsequent run of our Archiving service."
archive project,
how to archive a project,
How can I add a URL to the allowlist?,"To add a URL to the allowlist, please raise a [**request**](https://go.sap.corp/00d6) with the following details:

- **URL** to be added 
- **Reason** for addition
- **Duration** of addition
- **Cloud that the host belongs to**: Internal or external
- **Zone that the host belongs to** (relevant only for internal hosts, e.g. zone 1, zone 2, zone 3):
- **Do you have access to SAP Jira from the host?** Yes / No
 
Our amazing SAP Jira admin team will handle the rest! 😊"
how to allowlist url,
how to whitelist url,
How can I add a URL to the whitelist?,
Can I login to SAP Jira using a technical user?,"You cannot login SAP Jira using a technical user.
⠀ 
However, you can use a technical user to make REST API calls!"
technical user login,
Why my Technical User can not log into SAPJira web interface? ,
login as technical user,
When should I contact Jira admins?,"SAP Jira Administrators are responsible for **system wide** changes, including:
⠀ 
- Changing schemes
- Creating fields
- Associating fields with schemes
- Maintaining the technical details of a field."
When should I contact Jira admins?,
When to ask questions to jira admins,
when to connect to jira admins,
When should I contact Jira admins,
when to connect to admin,
when to contact jira admin,
How can I contact Jira admins?,"You can contact **SAP Jira administrators** through these channels:
⠀ 
- **System administrators**: Create a Jira admin [**request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6&summary=Request+for+technical+user&components=93113&description=Reason:-------------------+Technical+user+is+needed+until:---------------------------+email:-----------------------+I+understand+that+technical+users+will+be+scanned+for+their+usage+of+resources+and+will+only+be+given+prio+2,+when+it+comes+to+performance+issues.).
- **Project administrators**: Get in touch with the [**project administrator**](https://jam4.sapjam.com/wiki/show/HE80iWJkr40MbxsXkvoju9) for your department."
how to contact admin,
How to connect to jira admins,
How can I link projects created in Artemis to cPro?,Linking projects created in Artemis to cPro is a breeze by following these [**steps**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?spaceKey=EPPM&title=3.5+Add+existing+SAP+JIRA+Project)!
how to link project in artemis to cpro,
link artemis to cpro,
Can I assign Sirius programs to my project?,You can assign Sirius programs to your project in a snap by following our [**guide**](https://wiki.wdf.sap.corp/wiki/display/EPPM/3.6+Add+related+Sirius+Programs)!
refer sirius in project,
assign sirius to project,
Where can I get help to use SAP Jira?,"Help will always be given in SAP Jira to those who ask for it!
⠀ 
We have multiple help channels for SAP Jira:
⠀ 
- **Tobi**: that’s me! 😎
- [**Wiki**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/SAP+Jira+Onboarding) for SAP Jira on-boarding and documentation
- [**Slack channel**](https://my.slack.com/messages/CFDV2K8MR) for help from SAP Jira gurus
- [**SAP Jira Administrators**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) for help about system-wide issues"
Where can I get more information about SAP Jira?,
How can I raise ticket for help?,
documentation on sap jira,
Where can I get more information about SAP Jira?,
documentation,
I am new to SAP Jira,
Where can I get more information about SAP Jira?,
help to use jira,
Get help for jira,
How can I create a task?,"You can create a task in three easy steps!
⠀ 
- Navigate to the issue that you would like to create task for.
- Select **More -> Create Sub-Task**. You will see the **Create sub-task** screen.
- Fill in the necessary details and click **Create** at the bottom of the page."
I need to create task,
how to create task,
create task,
How can I add issues to a sprint?,"You can add issues to a sprint in two easy steps!
⠀ 
- Open the backlog view of your scrum board.
- Drag and drop issues from the backlog onto your sprint.
⠀ 

I am enjoying helping you! 😎"
Add issue to sprint,
add issues to sprint,
How can I export issues?,"You can export your issues in two simple steps!
⠀ 
- Perform a search with the required filters to get a list of issues. 
- On the top right-hand corner of the screen, click on **Export** and select your desired format.
⠀ 

Your issues are now exported! 😊"
export issues,
How to export issues,
How can I access SAP Jira from outside the SAP network?,SAP Jira is inside SAP’s firewall and **cannot** be accessed outside the SAP corporate network.
Can I access SAP Jira from outside the SAP network?,
Jira not accessible at home network,
jira outside corporate network,
How can I edit multiple issues?,"You can edit multiple issues by following these simple steps:
⠀ 

1. Search for issues which you would like to edit.
2. Select **Tools -> Bulk Change**.
3. Select the issues that you would like to perform the bulk operation on.
4. Select **Next** and make the desired changes.
⠀ 

Your changes will now be applied to all the selected issues!"
edit multiple issues,
bulk issue change,
How can I bulk change issues?,
How can I assign multiple tickets in Jira?,
bulk issue modify,
How can I perform bulk assignment of tickets in Jira?,
how can I modify multiple issues?,
How can I get notified about the downtime of SAP Jira?,"You can get notified about the downtime by [**subscribing**](https://go.sap.corp/00dt) to our incident notifications.
⠀ 
If you are interested only in downtime notifications, you can customize this [**here**](https://go.sap.corp/00dv).
⠀   

You can [**unsubscribe**](https://go.sap.corp/00dx) when you want to stop receiving our incident notifications."
is jira not working,
is jira down,
How to know downtime,
How can I get authorizations for creating issues in a project?,"Contact your project administrator to help you with the **Create Issue **permission.
⠀ 

Once you have this permission, you are good to go!"
what authorization is needed to create issue,
How to get authorization for creating issue,
i am not able to create issue,
Is there an integration with Microsoft Teams?,"There is currently no integration of SAP Jira with Microsoft Teams.
⠀ 
The standard integration provided by Microsoft Teams requires a webhook per Jira project or MS Team room, and this is not scalable."
MS teams integration,
How can I improve the performance of a board?,"You can refer to these amazing [**tips**](https://jam4.sapjam.com/questions/dkAxAd9ORV2xs8SLGdcs8l) to improve the performance of a board.
⠀ 
High performance rocks! 😊"
How can I improve the performance of a Kanban board?,
How can I close a sprint which has unresolved issues?,"While closing a sprint which has unresolved issues, choose one of the following options after clicking the **Complete Sprint** button:
⠀ 
- **Backlog**: This will move the unresolved issues to your backlog.
- **Future sprint**: This will move the unresolved issues to the future sprint of your choice.
⠀ 

**New sprint**: This will create a new sprint and move the unresolved issues to the newly created sprint.
⠀ 

Your sprint is now closed!"
How to close a sprint with incomplete issue?,
I cannot start a sprint in my board.,"To start a sprint, you need **administrator access** in all the projects included in a planned sprint.
 ⠀ 
If you cannot start a sprint, or if the **Start Sprint** link is greyed out:
⠀ 
- Check if the board filter **includes projects** in which you are not an administrator. Please request **admin access** from the respective project leads.
- Alternatively, you may modify the board filter to **exclude projects** that you do not administer."
How can I add a new workflow status to a board?,"You must be a **project administrator** or a **board administrator** to add a new workflow status to your board.
⠀ 
To add a new workflow status to your board:
⠀ 
1. Navigate to the desired board and click **Board -> Configure**.
2. Click on the **Columns** tab.
3. Click on the **Add Status** button to the right of the page.
⠀ 
More information is available in this friendly [**guide**](https://confluence.atlassian.com/jirasoftwareserver078/configuring-columns-947190570.html#Configuringcolumns-Addinganewstatus)!"
How can I create a filter?,"You can create a new filter using these easy steps!
⠀ 
1. Go to [**issue search**](https://confluence.atlassian.com/jiracoreserver078/searching-for-issues-947189846.html).
2. Define and run your search.
3. Click the **Save as** link above the search results. The **Save Filter** dialog is displayed.
4. Enter a name for the new filter and click **Submit**.
5. Your filter is now created!
⠀ 
Check out this friendly [**guide**](https://confluence.atlassian.com/jiracoreserver078/saving-your-search-as-a-filter-947189914.html) for additional information!"
How can I use multiple link types in a structure?,You can do this by adding multiple [**Linked Issues Extenders**](https://wiki.almworks.com/display/structure/Linked+Issues+Extender) to the structure.
How to add multiple relations in structure?,
What are the different project roles in SAP Jira?,"There are three project roles in SAP Jira:
⠀ 
- **Administrators**: People who can administer a project
- **Developers**: People who can work on issues in a project 
- **Users**: People who can view issues in a project
⠀  

Additionally, there are system wide administrators who can change configurations like workflows, permissions for a project et al."
What is the target user group of SAP Jira?,
What is a project?,"A Jira project is a collection of issues and is defined according to your organization’s requirements. 
⠀ 
Each project has a **project name** (e.g. IT Services) and a **project key** (e.g. ITS).
⠀ 
The project key becomes the prefix for that project's **issue keys** (e.g. ITS-101, ITS-102 etc).
⠀ 
Simple, isn’t it!"
What is a Backlog Item?,"A Backlog Item in SAP Jira is an [**issue type**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/4.4.1+Issue+Types) which represents the technical description of what needs to be implemented.
⠀ 
Enjoy working on your next Backlog Item! 😊"
What is SAP Jira?,"**SAP Jira** is SAP’s customized version of Jira, a proprietary issue tracking product developed by Atlassian for agile backlog management, requirements engineering, bug tracking, issue tracking and project management.
⠀ 
SAP Jira includes **SAP-added features** to Jira and is the official backlog management tool within SAP product development.
⠀ 
It is **integrated** with various applications including BCP, Artemis, Sirius and Test Work Bench.
⠀ 
Welcome to SAP Jira! 😊"
what is sap jira,
what is SAPJIRA,
SAP JIRA,
what is sap jira,
What is SAP Jira,
what is jira?,
tell me about sap jira,
Who is sap jira,
sap jira,
what is sap jira,
How can I get a technical user?,"To get a technical user, please create a [**request**](https://go.sap.corp/00d7) with the following details in the description:
⠀ 
- **Business case** with information on why you need a technical user
- **Time period** for which the technical user is needed (e.g. until Dec 31, 2020)
- **Name** of the technical user starting with **T_**
- **Email of the employee** (D or I user) who will be the **owner** of the technical user
- **Landscape/cloud/domain** the technical user will be used from (e.g. Converged cloud, BS domain et al)"
What is the policy on technical users?,
How can I delete a project?,"You can create a [**request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) to delete a project which has no issues.
⠀ 
Instead of deleting a project, we recommend [**archiving**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?pageId=2179012696) it."
What is Rich Filter?,"**Rich Filter for Jira dashboards** provides **gadgets** which allow you to build highly interactive and personalized Jira dashboards. 
⠀ 
The Rich Filter Gadgets bring new features to the Jira dashboards: 
⠀ 
- **Dynamically change** the data displayed by the dashboard
- Define and display **computed fields**
- Build **statistics** based on issue fields 
⠀ 

Isn’t that awesome? 😊
⠀ 

This [**guide**](https://wiki.qotilabs.com/rich-filters/user-s-guide/concepts) may help you understand Rich Filter better!"
What is Structure? ,"Structure for Jira is a project and portfolio management tool that allows you to create and manage **hierarchical lists** called structures. 
 ⠀ 
A structure may contain Jira issues, folders and other types of items. 
 ⠀ 
The hierarchy depth is not limited, and you can bring together issues and other information from multiple projects across company’s portfolio. 
 ⠀ 
Isn't that super? 😊 
 ⠀ 
This [**demo**](https://jam4.sapjam.com/blogs/show/pG00xH0thoNsjlNS5ei3QP) may help you understand Structure better!"
How can I create a structure?,Creating a structure is simple with this friendly [**guide**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?pageId=2112413744)!
How can I get authorizations to create a structure? ,"Create an [**authorization request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) with the necessary information.
⠀ 
Our amazing SAP Jira admin team will handle the rest!"
I need create structure permission.,
Why do I need authorizations to create a structure?,"This is to prevent cluttering SAP Jira with an endless number of structures.
"
How can I create custom columns in a structure?,"Creating custom columns in a structure is easy with this friendly [**guide**](https://wiki.almworks.com/display/structure/Formula+Columns)!
⠀ 
Enjoy exploring!"
How can I create formula column in structure?,
How can I get a hierarchical view of epics and user stories?,"You can easily get a hierarchical view of epics and user stories using **Structure**.
⠀ 
This [**guide**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?pageId=2108085197) has more details.
⠀ 
Enjoy exploring!"
What is the alternative for hierarchy view?,
How can I choose the items to be imported into a structure?,"You can choose the items to be imported into a structure using these steps:
⠀ 
- Formulate your requirements into a [**JQL**](https://www.atlassian.com/blog/jira-software/jql-the-most-flexible-way-to-search-jira-14) query. 
- Use the query in the [**JQL Query inserter**](https://wiki.almworks.com/display/structure/JQL+Query+Inserter). 
⠀ 
Pretty neat, isn’t it?"
How to use JQL in structure?,
I don't see an option to add generators to my structure. ,"You can add generators to your structure if you have the [**Edit Generators **](https://wiki.almworks.com/display/structure/Structure+Permissions)permission.
⠀ 

Please contact the **structure owner **to provide you with the **Edit Generators **permission.
"
Permission for adding automation to structure.,
permission to add automation in structure,
add automation permission for structure,
How can I add generators to a structure?,
I don’t see an option to allow manual adjustment in my structure configuration screen.,"We have disabled the **Allow Manual Adjustment** option across SAP Jira. 
⠀ 
Manual adjustments can cause the issues to appear out of order.
⠀ 
To avoid confusion to users while viewing the hierarchy, this option has been disabled."
How can I create a view like the ranking view in a structure?,"You can create a view like the ranking view in two easy steps: 
⠀ 
- Import all the issues to a structure as a flat list. 
- Apply a [**sort generator**](https://wiki.almworks.com/display/structure/Sort+Generators) based on Agile Rank.
⠀ 

There you have it! 😊"
How can I rank issues in structure?,
How can I get authorizations to use SAP Jira? ,"A user account is automatically activated when you [**open**](https://sapjira.wdf.sap.corp/) SAP Jira. 
⠀ 
Isn’t that wonderful? 😊
⠀ 
To use SAP Jira, you need to be [**staffed to a project**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/4.1+Create+and+Staff+a+Project)."
How can I join the Slack channel for SAP Jira?,"You can join our **Slack channel** for knowledge sharing [**here**](https://my.slack.com/messages/CFDV2K8MR)! 
⠀ 
The purpose of the channel is to provide and request help on SAP Jira topics. You can also share good practices on SAP Jira. 
⠀ 
I encourage you to collaborate with all the users and increase your fame as a SAP Jira guru!"
What is an issue?,"An issue is a line item in your backlog.
⠀ 
Essentially, anything to be created or tracked (e.g. task, bug, enhancement request) via SAP Jira is considered an issue."
What are the different issue types? ,"The different issue types are described [**here**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/4.4.1+Issue+Types). 
⠀ 
Happy exploring! 😊"
How can I create an issue? ,"You can create an issue through these simple steps!
⠀ 
- Click **Create** at the top of the screen to open the **Create Issue** dialog box. 
- Select the relevant **Project** and **Issue Type**. 
- Type a **Summary** for the issue and fill all mandatory fields (marked with *). 
- When you are satisfied with the content of your issue, click the **Create** button. 
⠀ 

Voila! Your issue is created😊"
how can I create a backlog item?,
How to create a Jira issue?,
how can I create a ticket?,
How can I search for an issue? ,"You can quickly search for an issue in two easy steps!
⠀ 
1. Enter your search criteria in the **search box** at the top right of the header bar
2. Press Enter.
⠀ 
More ways to search for an issue are described [**here**](https://confluence.atlassian.com/jiracoreserver0713/searching-for-issues-964984452.html)!"
How can I add filters to a structure?,"To begin, turn off [**Automation**](https://wiki.almworks.com/display/structure/Automation) for the structure.
⠀ 
You can use [**Transformations**](https://wiki.almworks.com/display/structure/Transformations) to **add quick filters** to a Structure:
⠀ 
1. Open [**structure search**](https://wiki.almworks.com/display/structure/Search).
2. Enter your **query** (using Text, JQL, or S-JQL search).
3. Click **Save** and enter a name for the filter."
add filters to structure,
in structure how to add filters,
How can I add transformations to a structure?,
I am not able to add transformations to the structure.,
How can I staff users to a project?,Staffing users to a project is easy with these simple [**steps**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/4.1.4+Staff+a+Project+with+a+Single+User)!
add employees to project,
staff users to project,
How can I add user to a project?,
How can I assign a user to a project?,
How can I create a follow-up project?,"You can create a follow up project in three easy steps!
⠀ 
- Go to **Projects > Create Project in SAP JIRA**. You will be redirected to Artemis.
- Click on **Create / Add SAP Jira Project**.
- Click on **Create follow up Project**.
⠀ 

I’m enjoying helping you!"
create follow-up project,
How can I staff a distribution list in my project?,Staffing an Outlook distribution list in your project is simple via these [**steps**](https://wiki.wdf.sap.corp/wiki/display/EPPM/3.3+Staff+Project+with+Outlook+Distribution+List) in [**Artemis**](https://artemis.cfapps.eu10.hana.ondemand.com/) 😊
How can I staff a DL in my project?,
How can I staff an outlook DL in my project?,
Can I assign projects created in cPro to Artemis?,You can assign projects created in cPro to Artemis using this friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/EPPM/3.5+Add+existing+SAP+JIRA+Project).
Use project from cpro in artemis,
Who is authorized to create projects from Artemis?,All **D & I** users at SAP can create and assign SAP Jira projects in Artemis!
Who can create project from artemis,
Can i create project in Artemis,
Can C-users use Artemis?,"Unfortunately, C-users **cannot** use Artemis."
Can temp users access Artemis?,
Can c user use artemis,
Can external users use Artemis?,
c user needs to use artemis,
What are the staffing options in Artemis?,"There are three staffing options available in Artemis:
⠀ 
- [**Staff a complete Lucid Capacity team**](https://wiki.wdf.sap.corp/wiki/display/EPPM/3.2+Staff+Project+with+Lucid+Capacity+Team)
- [**Staff a project with an Outlook distribution list**](https://wiki.wdf.sap.corp/wiki/display/EPPM/3.3+Staff+Project+with+Outlook+Distribution+List) 
- [**Staff a project with users**](https://wiki.wdf.sap.corp/wiki/display/EPPM/3.4+Staff+Project+with+single+User)
⠀   


Isn’t that awesome? 😊"
How can i staff in artmeis,
Tell me about staffing options in artemis,
Will my team members in Lucid Capacity be automatically transferred to my project?,"New team members in Lucid Capacity are automatically synchronized to all assigned SAP Jira projects.
⠀ 
Isn’t that great! 😊"
Does team in lucid capacity added to my project,
Team from lucid to porject,
add lucid team to my project,
What is the maximum number of users who can be staffed to a project from a distribution list?,"A **maximum of 300 users** can be staffed to a project from a distribution list.
⠀ 
**300** is also my favourite period action film! 😊"
What is the maximum number of users who can be staffed to a project from a distribution list?,
max number of users can be added from DL,
How can I delete staffing from Artemis?,"Deleting staffing in Artemis is easy! 😊
⠀  
- Go to [**Artemis**](https://artemis.cfapps.eu10.hana.ondemand.com/).
- Expand the project where you want to remove user(s) from.
- Click on the **delete** button on the right side of the screen."
How can I delete users assigned to a project from Artemis?,
How can I delete a distribution list assigned to a project in Artemis?,
How can I delete users assigned to a project?,
delete users from Artemis,
remove users from Artemis,
How can I assign project roles to users through Artemis?,"You can assign project roles to other users via [**Artemis**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?spaceKey=EPPM&title=3.4+Staff+Project+with+single+User).
⠀  

There are two user roles available while **staffing**:
⠀  
- **Administrator**: for users who administer a project
- **Developer**: for users who work on issues in a project
⠀    

Choose the role that fits your user best 😊"
give roles to project from Artemis,
Project roles using Artemis,
How can I add project roles to users,
How can I assign project roles to users,
assign project roles using Artemis,
What should I do if I get an error while creating a project?,"Oops, let’s find out what happened!
⠀  

Please check if you have a valid project key:
⠀  
- The project key in SAP Jira must be one word containing only numbers and characters.
- The project key is unique and cannot be used for another project.
- The project key of an archived project cannot be used to create a new project.
⠀  

Still facing issues? Create an [**ITDirect**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_SAPJIRA/JIRA:%20/) ticket with a detailed description of the error and we will help you!"
I am getting error while creating project,
I am having trouble creating a project,
error on creating project,
How can I archive an issue?,"It is not possible to archive an issue.
⠀ 
If you have permission to **Delete issues**, you can delete an issue instead."
how to archive an issue,
can i archive issue,
How can I delete an issue?,"Deleting an issue is very simple! 😊
⠀  

Before you begin, you need to have **Delete issues** permission. For more information on permissions, please check out this [**link**](https://confluence.atlassian.com/adminjiraserver086/managing-project-permissions-990553151.html).
⠀  
- On the issue page, click on **More** and you will see the **Delete** option. 
- On clicking the **Delete** option, you will be asked to confirm the action. 
- On clicking **Yes**, the issue will be deleted."
What should I do if I created a issue by mistake?,
How can I delete a task?,
i want to delete an issue,
delete an issue,
Remove issue,
How can I restore a deleted issue?,"It is not possible to restore a deleted issue.
⠀  

Even the mighty Tobi says no sometimes!"
Restore deleted issue,
How can I get back my deleted issue,
Where can I see a list of REST APIs?,"Here is the [**list**](https://docs.atlassian.com/software/jira/docs/api/REST/7.13.8/) of **REST APIs for SAP Jira**.
⠀ 
Happy exploring! 😊"
all rest api,
List of Rest api,
Which Rest apis can I use,
all rest api which i can use,
Which authorizations do I need to consume REST APIs?,"You can use [**basic authentication**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/General+FAQs#GeneralFAQs-BasicauthenticationforSAPJIRA) to consume REST APIs.
⠀ 
Isn’t that simple! 😊"
what authorization can i use to consume rest api,
What authentication do I need to consume REST API,
Which credentials do I need to consume REST APIs?,
basic auth for rest api,
How can I configure webhooks?,You can configure webooks with the help of this friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/General+FAQs#GeneralFAQs-ConfigurewebhooksinSAPJIRA)!
how to setup webhooks,
configure webhook,
How to configure webhooks,
steps to configure webhooks,
What is a board? ,"A board displays issues from one or more projects, giving you a flexible way of viewing, managing, and reporting on work in progress. 
⠀ 
There are two types of boards in Jira: 
⠀ 
- **Scrum board**: for teams that plan their work in sprints 
- **Kanban board**: for teams that focus on managing and constraining their work-in-progress 
⠀  

A project can have multiple boards, and a combination of Scrum boards and Kanban boards, if you choose.  
⠀  
You can either use a board that someone else has created or create your own.
⠀  

Aren’t boards awesome! 😊"
How can I create a board? ,You can easily create a board by following these [**steps**](https://www.atlassian.com/agile/tutorials/creating-your-agile-board)! 
create board,
steps to create board,
I want to create new board,
add a new board,
make new board,
How to add new board,
How can I create a Scrum board?,
How can I create a Kanban board?,
How can I change the admin of my board,You can change the admin of your board through these simple [**steps**](https://confluence.atlassian.com/jirasoftwareserver078/configuring-a-board-947190545.html)!
new admin of my board,
replace admin of my board,
add new admin for board,
How can I change the administrator of my board,
How can I add quick filters to my board? ,"Adding quick filters to your board is a great idea!
⠀ 
Please refer this friendly [**guide**](https://confluence.atlassian.com/jirasoftwareserver078/configuring-quick-filters-947190594.html) to help you with this."
Add filter to board,
How can I configure filters in my board?,
How can I customize columns in my board,Customizing columns in your board is easy when you follow this step by step [**guide**](https://confluence.atlassian.com/jirasoftwareserver078/configuring-columns-947190570.html)!
modify columns on board,
change columns in my board,
configure columns in my board,
How can I rank issues in a scrum board,"[**Enabling ranking**](https://confluence.atlassian.com/jirasoftwareserver078/enabling-ranking-947190567.html) allows you to rank issues in a scrum board.
⠀ 

You can rank an individual issue by **dragging and dropping** it to a higher or lower position in the board.
⠀ 

Simple, isn’t it! 🙂"
How can I arrange issues in a scrum board,
How can I arrange issues in a board,
How to rank issue on scrum,
rank issue board,
How can I rank issues in a board,
How can I create multiple boards for a project? ,You can learn about creating multiple boards for a project [**here**](https://community.atlassian.com/t5/Jira-Software-questions/1-project-with-multiple-boards-1-independent-sprint-and-sprint/qaq-p/46378).
how can make many board for a project,
multiple boards for a project,
many boards for a project,
How can I have a single board for multiple projects?,"You can [**configure**](https://support.atlassian.com/jira-software-cloud/docs/configure-filters/) the board filter with the list of project keys.

More information is available [**here**](https://community.atlassian.com/t5/Jira-Core-questions/Is-it-possible-to-create-a-board-across-multiple-projects/qaq-p/195403)."
one board for many projects,
single board for many projects,
one board for multiple projects,
What happens when I select a Focus Topic for my innovation?,"When you select a **Customer Facing** focus topic for an innovation, it enables that innovation to be **easily filtered** in customer facing tools like SAP Road Map Explorer and SAP Innovation Discovery. 

When you select an **Internal Only** focus topic for an innovation, it becomes **visible** in internal tools like Enterprise Analytics Reporting."
What does the error message ‘Wait until future use SCs are published’ mean?,"The error message ‘Wait until future use SCs are published’ appears when you are trying to publish an innovation linked to a Solution Capability that has not yet been published.

The innovation can be **Delivered Published** only after all the Solution Capabilities linked to it are published."
What is the Estimated RTC of an innovation?,"The Estimated RTC of an innovation refers to the estimated date when the innovation will be released to SAP customers.

More details are available in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/IFR/Estimated+RTC). "
How can I start a review for an innovation after initially skipping it?,"It is **not** possible to start a review for an innovation after initially skipping it.

In exceptional cases, [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Change%20the%20status%20of%20my%20innovation/2/null/null/Dear%20colleagues%2C%0A%0ACan%20you%20please%20help%20me%20change%20the%20status%20of%20my%20innovation%20from%20%3C%3E%20to%20%3C%3E~60%0A%0AInnovation%20%3C%3E%0A%0AReason%20for%20changing%20the%20status%20%3C%3E%0A%0ABest%20regards%2C%0A%3C%3E) to review your innovation.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
How can I create a feature?,"Creating a feature is easy using the following steps!

1. On the home page, click on **Create Features**.
2. Enter a **Feature Name**
3. Link the feature to your innovation and proceed with the remaining fields."
What are Area Tasks?,**Area Tasks** display pending action items for innovations and features for a chosen product or responsibility area.
What are My Open Tasks?,**My Open Tasks** display content quality issues for your innovations and features which require action.
What are the benefits of the Innovation and Feature Repository Dashboard?,"The Innovation and Feature Repository Dashboard offers the following benefits:

- **My Open Tasks** display **content quality issues** which require your action.
- **Area Tasks** display **action items** for a chosen product or responsibility area.
- **Notifications** enable you to be informed about **critical**  action items."
How can I benefit from the Innovation and Feature Repository Dashboard?,
How will the Innovation & Feature Repository Dashboard help me?,
What is the Innovation and Feature Repository Dashboard?,The **Innovation & Feature Repository Dashboard** enables content quality and governance checks by providing a real-time overview of the content quality of innovations and features.
How is a product feature related to an innovation?,"An **innovation** is a cluster of functional capabilities defined and described from a business perspective.

A **product feature** describes functionality intended for a business challenge and delivered to a customer. 

An innovation can be linked to **one or more** product features. However, a feature can be linked to only **one** innovation."
When can I skip the planned section of an innovation?,"When creating an innovation, you can skip the planned section if the innovation has already been **delivered to the customer**."
What is the context of an innovation?,"The context of an innovation helps us to structure SAP’s solution portfolio by the following categories: 

- **Industry / LoB** innovations
- **Technology** innovations"
Why should I assign focus topics to my Innovation?,"Assigning focus topics to your innovation helps in positioning and highlighting strategic **high-level cross topics** across SAP solutions, e.g. Artificial Intelligence, Blockchain, Multi-Cloud et al."
What is a product feature?,A **product feature** describes the functionality intended for a business challenge and delivered to a customer.
What is an innovation?,An **innovation** is a cluster of functional capabilities defined and described from a business perspective.
How can I delete a feature?,You can easily delete a feature by clicking on the **Delete** button at the bottom of the feature.
How can I remind a UA developer to update my feature documentation?,"You can easily remind a UA developer to update your feature documentation by following these steps: 

1. Open your feature. 
2. Click on the **Documentation** tab. 
3. Click on the **Remind** button.

The UA Developer will now receive a **reminder email**!"
What is the difference between a Released and a Published feature?,"**Published** features are visible to SAP customers in SAP Innovation Discovery and SAP Road Maps Explorer.

**Released** product features will not be visible to SAP customers. 

More details are available in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/IFR/Feature+Release+to+Publish)! "
Who can I assign as the reviewer of an innovation?,An ideal candidate for reviewing an innovation is the responsible **Solution Owner.**
What is the Innovation Technical Name?,The Innovation Technical Name is a system generated **unique technical identifier** of an innovation. 
Why is BrandVoice editing required for my innovation?,"BrandVoice editing **checks content** that SAP publishes externally for grammar, semantics and language constructs.

This is mandatory to ensure high quality content for your innovations. "
Why is Brand Voice editing required for my innovation?,
Why do I need to add a business role to an innovation?,Adding a business role to an innovation helps SAP customers and partners find the right Fiori innovation for a business role and line of business.
What should I publish first: an innovation or a feature?,"To publish an innovation as **Delivered Published**, at least one of its linked features should be released. In this case, you should release your **feature** first.

To publish an innovation as **Planned Published**, it is not necessary to release its linked features."
What is the Application Component Hierarchy in my product feature?,"The Application Component Hierarchy (ACH) provides a structured overview of all the parts and functions of SAP products. 

For example, the areas for Materials Management and Financial Accounting in SAP ERP have their corresponding application components as MM and FI."
How can I link innovations to my product feature?,"You can easily link innovations to your product feature in two ways: 

1. Within a product feature, go to the **Basic Information** tab to link an innovation.
2. Within an innovation, go to the **Features** tab and click on **Create Feature** or **Link Existing Feature**."
